Judul,Sub Judul,No. ISBN,Penulis,Jumlah Halaman,Berat Buku,Jenis Cover,Isi,Dimensi (L x P),Harga,Deskripsi,URL,Thumbnail URL
Tantangan dalam Berkhotbah,Menyiapkan dan Mempraktikkan Khotbah Alkitabiah,978-602-8009-83-6,John Stott & Greg Scharf,180 halaman,200 gram,soft cover,HVS 70,15 x 23 cm, Rp. 55.000,"Seri Pustaka Homiletika
Tantangan dalam Berkhotbah
Setiap pengkhotbah memiliki amanat yang penting untuk
disampaikan. Amanat yang membuat pendengarnya rela duduk
diam dan menyimak khotbah. Sayangnya, khotbah semacam itu
kurang banyak ditemukan di gereja sekarang ini. Terlalu beratkah
tantangannya?

Sebagai pengkhotbah alkitabiah yang diakui dunia, John
Stott berbagi rahasia berkhotbah: prinsip-prinsip dan petunjuk
praktis bagi para pengkhotbah. Bagaimana mendengarkan
dengan saksama firman Allah sekaligus jeritan dunia masa kini?
Bagaimana pentingnya seorang pengkhotbah hidup berpadanan
dengan isi khotbahnya?

Buku ini menjawab tiga tantangan terberat para pengkhotbah
abad XXI, yaitu:

sikap perlawanan atas segala bentuk otoritas,
revolusi elektronik, dan
hilangnya keyakinan akan Injil.

Inilah alasan mengapa setiap pengkhotbah wajib membaca buku ini.
Buku ini merupakan ringkasan buku John Stott I Believe in Preaching (di Amerika Serikat terbit dengan judul Between Two Worlds); yang kemudian dilengkapi Greg Scharf dengan berbagai perkembangan terbaru dalam ilmu berkhotbah dan kehidupan gereja.
 

JOHN STOTT dikenal di seluruh dunia sebagai seorang pengkhotbah,
penginjil, dan penulis. Ia termasuk kontributor utama Lausanne Covenant (1974) dan pendiri Langham Partnership International, sebuah organisasi yang memperlengkapi generasi baru para pengajar Alkitab di seluruh dunia.

GREG SCHARF adalah seorang profesor Teologi Pastoral di Trinity Evangelical Divinity School di Deerfield, Illinois, Amerika Serikat. Ia mengenal dan bekerja sama dengan John Stott selama bertahun-tahun. Ia juga menulis buku Prepared to Preach: God’s Work and Ours in Proclaiming His Word (Christian Focus) dan Relational Preaching (Khotbah yang Transformatif [YKBK]).",http://www.penerbitbinakasih.com/233-buku-tantangan-dalam-berkhotbah.html,http://www.penerbitbinakasih.com/images/products/product_233.jpg
Khotbah yang Transformatif,STOK KOSONG,978-602-8009-82-9,Greg Scharf,260 halaman,300 gram,Soft Cover,HVS 70,15 x 23 cm, Rp. 0,"Seri Pustaka Homiletika
Khotbah yang Transformatif
Apa yang dapat dilakukan seorang pengkhotbah untuk
meningkatkan mutu khotbahnya? Kuncinya bukan pada teknik.
Keterampilan berkhotbah bukan semata persoalan teknik.
Ini sangat berkaitan dengan integritas dan karakter Pribadi Sang Pengkhotbah.
Namun, buku ini sebenarnya bukan tentang diri pengkhotbah.
Justru pengkhotbah ditempatkan agak di belakang agar
Allah, Alkitab, dan para pendengar ditempatkan pada posisi
seharusnya, yaitu di tengah panggung.

Dan secara unik buku ini akan menuntun pengkhotbah
melakukan persiapan khotbah jangka panjang secara lebih menyeluruh melalui pendalaman hubungan yang lebih kukuh dengan
Allah, dengan firman-Nya, dan dengan para pendengarnya.

Amanatnya langsung pada inti masalah dan membumi—
berbentuk renungan disertai doa. Melalui buku ini Greg
Scharf mengajak para pengkhotbah turut membenamkan diri
dalam Alkitab serta merefleksikan makna firman Allah bagi
mereka. Panduan yang akan membuat setiap pengkhotbah makin
mengasihi Allah, Alkitab, dan setiap pendengarnya!
 

GREG SCHARF adalah seorang Profesor Teologi Pastoral di Trinity Evangelical Divinity School di Deerfield, Illinois, Amerika Serikat. Sebelumnya ia melayani sebagai pendeta di All Souls, Langham Place di London, Knox Church, Toronto, dan Salem Free Church di Fargo, North Dakota. Ia menulis Prepared to Preach: God’s Work and Ours in Proclaiming His Word (Christian Focus) dan bersama John Stott menulis The Challenge of Preaching (Tantangan dalam Berkhotbah [YKBK]). Dr. Scharf juga memfasilitasi seminar-seminar khotbah di berbagai negara yang didukung Langham Preaching.",http://www.penerbitbinakasih.com/234-buku-khotbah-yang-transformatif.html,http://www.penerbitbinakasih.com/images/products/product_234.jpg
Membaca untuk berkhotbah,STOCK KOSONG,978-602-1006-13-9,Cornelius Plantinga Jr.,160 halaman,300 gram,Soft cover,HVS 70,15 X 23 cm, Rp. 0,"Menurut Cornelius Plantinga, suatu kegiatan di belakang layar yang mutlak diperlukan oleh para pengkhotbah sekaligus sebagai penunjang dalam menghasilkan khotbah yang relevan dengan konteks kehidupan abad ke-21, yaitu mereka perlu membaca literatur umum: entah itu sebuah novel, roman, cerita pendek, biografi, dongeng, surat kabar, puisi, atau catatan-catatan jurnalistik.
Makna-makna yang terserap dari kegiatan membaca literatur umum itu dielaborasikan dengan pesan Alkitab, iman pribadi, dan pengalaman orang percaya, maka akan menghasilkan sebuah khotbah yang hidup dan menarik.",http://www.penerbitbinakasih.com/279-buku-membaca-untuk-berkhotbah.html,http://www.penerbitbinakasih.com/images/products/product_279.jpg
Katekisasi Masa Kini,-,978-602-8009-45-4,R.J. Porter,200 halaman,240 gram,soft cover,HVS 70,"14,4 x 21 cm", Rp. 52.000,"Kelas KATEKISASI adalah salah satu upaya gereja untuk membina dan mempersiapkan muda-mudinya menjadi Kristen yang bertanggung jawab dan kreatif.
Untuk menopang upaya itulah buku ini diterbitkan. Disusun sedemikian rupa, sehingga para pemakai—pendidik dan yang dididik—sama-sama terlibat dan ”berperan serta”. Dengan demikian pengertian akan pokok-pokok yang dibicarakan lebih mantap dan berkesan. 
Urutan pelajaran didasarkan pada urutan tema berjenjang, sehingga pelajaran demi pelajaran jelas merupakan satu kesatuan dan senada. 
Jumlah pelajaran juga disesuaikan untuk satu tahun, yakni waktu yang ideal dan yang umum berlaku di gereja-gereja di Indonesia.",http://www.penerbitbinakasih.com/114-buku-katekisasi-masa-kini-.html,http://www.penerbitbinakasih.com/images/products/
Harta Saya Milik Siapa?,Bagaimana mengelola pemberian Allah dengan benar,979-9143-54-3,M.B. Dainton,112 halaman,100 gram,soft cover,HVS 70,13x18 cm, Rp. 20.000,"Berapa idealnya gaji pendeta?
Pertanyaan ini sangat menarik untuk diperbincangkan. Terutama oleh semua anggota majelis dan jemaat, bahkan oleh pendeta sendiri.
Hal-hal penting yang harus dipertimbangkan untuk menentukan gaji pendeta disajikan dalam buku ini. Juga tanggung jawab setiap anggota jemaat yang—pada dirinya—adalah pengelola anugerah Allah.
Ungkapan “pengelola anugerah Allah” itu erat berkaitan dengan harta kekayaan seseorang. Artinya, harta anggota jemaat.
Justru buku ini penting sekali dibaca oleh setiap anggota jemaat, majelis, apalagi para pendeta, bahkan oleh Guru Agama dan penginjil.",http://www.penerbitbinakasih.com/115-buku-harta-saya-milik-siapa%3F-.html,http://www.penerbitbinakasih.com/images/products/product_115.jpg
Transformasi Gereja Lokal dan Masyarakat,Seandainya Yesus Menjadi Pemimpin Daerah Anda,978-602-1006-12-2,Bob Moffitt dan Karla Tesch,432 halaman,600 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 92.000,"Agenda Allah bagi dunia ini ialah memulihkan segala sesuatu bagi kemuliaan nama-Nya. Agenda gereja dan agenda Allah seharusnya sama-sama klop. Seringkali gereja hanya ”menyentuh” jemaatnya sendiri tanpa peduli dengan masyarakat sekitar di mana Allah menempatkan mereka. Atau mungkin saja, mereka tidak tahu cara ”menyentuh” masyarakat sekitar dengan cara Yesus.
Konsep Alkitab tentang pemulihan segala sesuatu harus dipahami oleh semua orang percaya agar mereka mampu mempraktikkan kasih Allah melalui cara-cara yang praktis di lingkungannya.
Selain dilengkapi formulir sebagai alat bantu dalam menerapkan konsep tersebut, buku ini juga sarat data dan kesaksian gereja lokal dari penjuru dunia yang mengalami transformasi—menjadikan buku ini tidak sekadar teori, tetapi praktik yang sudah diterapkan. Penuturan dan bahasanya pun sederhana.
Buku ini memang untuk Anda: pendeta, penatua, pemimpin lembaga Kristen, dan siapa saja yang ingin menjadi pemimpin yang transformatif— demi pemulihan segala sesuatu.",http://www.penerbitbinakasih.com/117-buku-transformasi-gereja-lokal-dan-masyarakat.html,http://www.penerbitbinakasih.com/images/products/product_117.jpg
Bertahan di Bumi Pancasila,Belajar dari Kasus GKI Yasmin,978-602-8009-76-8,Victor Silaen,260 halaman,300 gram,soft cover,,"14,5x21 cm", Rp. 60.000,"Buku ini membawa kita pada pertanyaan mendasar yang harus dijawab oleh kita semua, terutama para pemrotes GKI Yasmin, Walikota Diani Budiarto, dan presiden SBY: apakah kita masih mau dan mampu hidup berdampingan di tengah perbedaan?
Pdt. Gomar Gultom (Sekretaris Umum Persekutuan Gereja-gereja di Indonesia)
 
Oknum Walikota Bogor adalah pemimpin yang tidak amanah karena tidak membawa keadilan, bahkan membangkang hukum. Perlu ketegasan Pemerintah Pusat. Buku yang menggugah kita untuk selalu menyerukan dan mengingatkan pemerintah.
Eva Kusuma Sundari ( Anggota Komisi III DPR RI 2009-2014)
 
Sekalipun banyak berkisah soal diskriminasi dan intimidasi sistematis terhadap GKI Yasmin, namun potret dan cara pandang yang digunakan penulis dapat menjadi gambaran toleransi dan intoleransi di Indonesia.
Hendardi (ketua SETARA Institute, Jakarta)
 
Buku ini mencatat salah satu babak sejarah Indonesia dengan kepemimpinan yang buruk, tanpa visi dan kepedulian tentang jaminan kesetaraan dan nondiskriminasi terhadap warga negara minoritas
Ahmad Suaedy (Peneliti Senior Wahid Institute)
 
Layak dibaca oleh semua pengambil kebijakan agar tidak terulang kembali karena kasus ini merupakan cermin gagalnya kita menegakkan konstitusi.
Rm. Benny Susetyo, Pr. (Sekretaris Eksekutif Komisi Hubungan Agama dan Kepercayaan, Konferensi Waligereja Indonesia)",http://www.penerbitbinakasih.com/225-buku-bertahan-di-bumi-pancasila.html,http://www.penerbitbinakasih.com/images/products/product_225.jpg
Menjadi Murid Sejati Abad XXI,STOCK KOSONG,978-602-8009-86-7,Tim GKJTU,108 halaman,60 gram,soft cover,HVS 70,13 x 18 cm, Rp. 30.000,"Menjadi Murid Sejati Abad XXI bukan hanya soal tetap beriman, tetapi juga mampu memahami apa dan bagaimana relasi kita sebagai gereja dengan:
• kebudayaan
• kemajemukan agama kepelbagaian gereja
• politik
• ekonomi
• ilmu pengetahuan dan teknologi
Buku ini disusun sebagai pelengkap Katekismus Heidelberg untuk konteks gereja di Indonesia masa kini.
Sebagai pelengkap, buku ini memuat tanya-jawab sederhana, namun komprehensif.
Buku ini penting bagi warga dan para pelayan jemaat, baik sebagai bahan pembinaan dan pengajaran katekisasi, referensi khotbah, maupun untuk pemahaman Alkitab. Siapa saja yang ingin menjadi murid sejati di abad ini perlu membaca buku ini.",http://www.penerbitbinakasih.com/239-buku-menjadi-murid-sejati-abad-xxi.html,http://www.penerbitbinakasih.com/images/products/product_239.jpg
Di sini aku berdiri,Percikan Pemikiran dan Refleksi 500 Tahun Reformasi,978-602-1006-37-5,"Pdt. Anwar Tjen, Ph.D., dkk.",372 halaman,410 gram,Soft Cover,HVS 70,"14,5 x 21 cm", Rp. 100.000,"Martin Luther itu milik semua orang yang ingin hidup beriman berdasarkan Kitab Suci dan anugerah Allah. Dalam rangka itulah Gereja-gereja di Indonesia ikut dalam arak-arakan rohani ini, meskipun jauh dari proses historis Reformasi (Ephorus Huria Kristen Batak Protestan, emeritus, Dr. J.R. Hutauruk, doktor Sejarah Gereja)

Relasi antara murid dan penganut jalan Tuhan pernah diwarnai kutuk-mengutuk, bahkan peperangan. Semua itu telah menjadi bagian dari masa lalu. Namun, peristiwa itu tetap terbuka untuk dimaknai sebagai peristiwa rakhmat yang melahirkan hikmat (Prof. Dr. Eddy Kristiyanto, OFM, Guru Besar Sejarah Gereja, Sekolah Tinggi Filsafat Driyarkara, Jakarta)


Spiritualitas Protestan yang terbuka, mengakar pada isu sosial, namun relevan di zaman hipermodern ini sungguh mendesak ditemukan, agar gereja Reformasi yang memisahkan diri bertanggung jawab menyembuhkan batin anak-anaknya (Pdt. Martin Sinaga, DTh, Pendeta Gereja Kristen Protestan Simalungun, dosen luar biasa pada Sekolah Tinggi Filsafat dan Teologi Jakarta)


Bagaimana gereja-gereja Reformasi dan Gereja Katolik menghidupi spiritualitasnya? Gereja masa kini berada dalam kemapanan kultis. Kita harus kembali kepada model gereja perdana, rumah yang memberdayakan golongan tersisih, komunitas yang digerakkan Firman Allah (Elvina Simanjuntak, MA, Sekretaris Program Pusat Pastoral Keuskupan Sibolga)",http://www.penerbitbinakasih.com/293-buku-di-sini-aku-berdiri.html,http://www.penerbitbinakasih.com/images/products/product_293.jpg
Semata-mata oleh Firman,Pengantar ke dalam Pokok-pokok Ajaran Kristen,978-602-1006-17-7,Dr. Egbert Brink,316 halaman,450 gram,Soft cover,HVS 70,"14,5 x 21 cm", Rp. 60.000,"Ke-26 bab dalam buku ini dibahas secara singkat dan padat
serta diakhiri dengan pertanyaan-pertanyaan interaktif untuk bahan
diskusi. Karya asli dalam bahasa Belanda yang telah dicetak ulang
tujuh kali, dan telah diterbitkan ke dalam bahasa Inggris, Afrika
Selatan, Rusia, dan bahasa Perancis.
Selain sangat bermanfaat untuk bahan katekisasi, buku ini juga
sering dipakai untuk diskusi kelompok jemaat. Berguna juga bagi
siapa saja yang ingin memperkuat fondasi imannya akan kebenaran
firman Allah.",http://www.penerbitbinakasih.com/280-buku-semata-mata-oleh-firman.html,http://www.penerbitbinakasih.com/images/products/product_280.jpg
Jemaat yang Mengenal  Kitab-kitab,Pembimbing ke dalam Kanonik Alkitabiah,978-602-8009-50-8,D.J. Zandbergen,164 halaman,180 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 30.000,"Alkitab adalah ukuran kebenaran sekaligus ukuran iman orang percaya.
Penting bagi kita¯umat Tuhan¯untuk menda­lami Alkitab secara sistematis dan teratur, mulai dari ciri kitab, pembagian, penulis, waktu penulisan, tem­patnya dalam kanon hingga ikhtisar. 
Buku Jemaat yang Mengenal Kitab-kitab, sangat membantu setiap orang¯pendeta, dosen, mahasiswa, bahkan umat¯yang ingin memahami Alkitab secara keseluruhan. 
Buku ini hadir sebagai pengantar untuk setiap kitab dalam Alkitab¯yang diuraikan dengan bahasa sederhana¯sehingga pembaca dapat memahami dan menafsirkannya secara bertanggung jawab. 
Setiap pribadi¯yang rindu menggali kedalaman Alkitab sebagai kebenaran mutlak¯wajib memiliki buku ini!",http://www.penerbitbinakasih.com/109-buku-jemaat-yang-mengenal--kitab-kitab.html,http://www.penerbitbinakasih.com/images/products/product_109.jpg
Jemaat yang Hidup,Peranan tubuh Kristus secara pribadi dalam kebersamaan,979-8976-39-8,G. Riemer,136 halaman,170 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 42.000,"Kuatkanlah, teguhkanlah hatimu, bertindaklah hati-hati. Janganlah menyimpang ke kanan atau ke kiri.
Itulah perintah Allah kepada Yosua. Itu juga perintah-Nya kini, kepada pendeta dan penatua termasuk kita—warga—pencinta gereja.
Tuntutan untuk mematuhi perintah itu paling terasa sekarang ini di Indonesia. Apalagi karena gereja sering dilanda petaka.
Karena itulah Seri Pembinaan Jemaat diterbitkan. Agar umat, pendeta, penatua, penginjil, dan guru agama merindukan hikmat Tuhan.
Buku JEMAAT YANG HIDUP ini adalah satu dari Seri Pembinaan Jemaat. Memaparkan bagaimana Tuhan sendiri membina jemaat-Nya.
Itu sangat penting dan asasi untuk kita pahami. Yang akan memacu dan memampukan kita memugari citra gereja. Menatanya dan mencintainya.",http://www.penerbitbinakasih.com/113-buku-jemaat-yang-hidup-.html,http://www.penerbitbinakasih.com/images/products/product_113.jpg
Jemaat yang Diakonal,,979-9143-64-0,G. Riemer,192 halaman,220 gram,soft cover,,"14,5x21 cm", Rp. 40.000,"”Berdiakonia” sama dengan ”menjadi pelayan kasih”. Dan berdiakonia adalah kewajiban sahih setiap orang yang dirasuki oleh Khotbah di Bukit, atau Orang Samaria yang Baik Hati. Jadi, berdiakonia adalah perintah Allah!
Tapi, kewajiban berdiakonia perlu disosialisasikan. Sebab dipertanyakan, apakah ada batas perbuatan sosial? Apakah setiap orang Kristen harus diaconal? Atau, harus menjadi pelayan kasih? Apakah seorang—kendati miskin—harus diakonal?
Sebaliknya, apakah orang kaya yang setia melakukan persepuluhannya, masih wajib menolong orang miskin dan susah? Dan apakah orang benar wajib memberi tanpa batas?
Pertanyaan pelik, tapi asasi!
Inilah yang diurai dalam buku ini. Tentang seni berdiakonia, melayani, mengasihi… bertanggung jawab. Bahkan cara menata organisme gerejawi dan mengorganisasikannya secara profesional.
Buku ini unik. Bobot sejarah dan nalar ekonomiknya khas ilmiah. Hal baru dalam dunia pelayanan nasional dan internasional.",http://www.penerbitbinakasih.com/226-buku-jemaat-yang-diakonal.html,http://www.penerbitbinakasih.com/images/products/product_226.jpg
Jemaat yang Pastoral,STOCK KOSONG,978-979-8976-56-8,G. Riemer,88 hlm halaman,120 gram,Soft cover,Hvs 70 gram,"14,5 x 21 cm cm", Rp. 30.000,"Giat mengunjungi anggota jemaat berdasarkan kekerabatan, kebersamaan, dan secara bersinambungan dari hati ke hati, akan mendampakkan kesan yang sangat mendalam di sanubari umat.",http://www.penerbitbinakasih.com/297-buku-jemaat-yang-pastoral.html,http://www.penerbitbinakasih.com/images/products/product_297.jpg
Jemaat yang Presbiteral,Melayani sesama tanpa pamrih motor kasih persekutuan,978-979-8976-41-4,G. Riemer,109 halaman,150 gram,Soft cover,Hvs 70 gram,"14,5 x 21 cm cm", Rp. 35.000,"Untuk berani menyatakan secara gamblang dan jujur bahwa kesalahan adalah kesalahan, sungguh sangat sulit di negeri tercinta ini! Teramat sulit, sekalipun di antara sesama pelayan
firman—baik itu pendeta, penatua, penginjil, diaken, guru Sekolah Minggu maupun guru agama, bahkan di antara para teolog.
Jadi jelas, para pelayan firman sungguh-sungguh dituntut oleh salibnya untuk wajib santun, lugas, giat, mantap, rela, dan welas asih.",http://www.penerbitbinakasih.com/298-buku-jemaat-yang-presbiteral.html,http://www.penerbitbinakasih.com/images/products/product_298.jpg
Jemaat yang Bermisi,Persiapan Merintis Gereja Baru,9786021006528,G. Riemer,140 halaman,200 gram,soft cover,70,"14,5 x 21 cm", Rp. 40.000,,http://www.penerbitbinakasih.com/308-buku-jemaat-yang-bermisi.html,http://www.penerbitbinakasih.com/images/products/product_308.jpg
Hidup Baru,Orang Kristen dalam konteks kebudayaan setempat,979-9143-88-8,Henk Venema,352 halaman,420 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 50.000,"Bagaimanakah kita harus hidup sebagai orang Kristen dalam konteks kebudayaan kita? Lebih khusus lagi, ”Dalam kebudayaan setempat di mana kita tinggal sekarang ini juga”?
Pertanyaan ini sangat hakiki dan relevan dengan kekinian. Apalagi berkaitan dengan Indonesia sebagai satu bangsa yang Bineka Tunggal Ika lagi serba tradisi—budaya yang mau tidak mau harus bersosialisasi dengan sesamanya dalam kehidupan sehari-hari.
Persentuhan dalam bersosialisasi itu mewarnai adat-istiadat, tradisi, budaya, keyakinan bahkan semua agama yang ada di Indonesia. Jadi, keberbagaian nuansa yang begitu kaya perlu dilestarikan, diasah, dan disesuaikan dengan kekinian nalar alkitabiah.
Salah satu kebijakan yang ditempuh oleh penulis, ialah membukukan apa yang benar terjadi di bumi Papua—khususnya di antara suku Kombai dan Korowai.
Buku HIDUP BARU ini juga bicara tentang perjalanan sejarah suku Kombai dan Korowai yang serba orisinal, tapi harus menghadapi lompatan peradaban yang sangat jauh dan cepat—super modern. Bahkan lompatan nalar dari yang tradisional ke yang rasional dan alkitabiah.
Penyesuaian nalar kekinian dan relevansi peradaban keakanan yang terus berkembang, diantisipasi oleh penulis dengan visi imani. Ini pun akan Anda rasakan saat Anda sibuk membaca buku ini. Cocok untuk keluarga kampus yang haus pembaruan—khususnya warga seminari, STT, penginjil, pendeta… apalagi masyarakat Papua—seanteronya.",http://www.penerbitbinakasih.com/94-buku-hidup-baru-.html,http://www.penerbitbinakasih.com/images/products/product_94.jpg
Injil untuk Semua Orang,Pembimbing ke dalam Ilmu Misiologi, 979-8976-85-1,Henk Venema,252 halaman,290 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 50.000,"Praktik Pekabaran Injil sudah lama ada—bahkan pada zaman PL. Tapi Ilmu yang khusus menyelidiki kegiatan itu baru saja ada. Justru muncul bermacam pendapat tentang Pekabaran Injil.
Pendapat-pendapat itu disajikan dalam buku ini. Di samping untuk dipertimbangkan, juga untuk dijadikan acuan, dalam upaya menciptakan pola Pekabaran Injil yang baru dan yang benar-benar relevan dengan keadaan setempat.
Dengan demikian buku ini sangat cocok bagi masyarakat kampus. Bagi para penatua, penginjil bahkan bagi para pemikir dan pengambil keputusan di jemaat bahkan di tingkat gereja.
Menikmati sajian buku ini adalah langkah awal untuk meraih hikmat yang merupakan kebutuhan vital dalam setiap upaya memahami dan melayankan Injil.",http://www.penerbitbinakasih.com/97-buku-injil-untuk-semua-orang-.html,http://www.penerbitbinakasih.com/images/products/product_97.jpg
Menampik DR. M. Bucaille,Alkitab lebih dari mampu membela dirinya sendiri,979-9143-78-0,M.B. Dainton,56 halaman,70 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 15.000,"Kerukunan beragama bukan basa-basi! Melainkan hidup, eksistensial, dan riil. Karena itu di Indonesia tidaklah etis melancarkan propaganda agama murahan, yakni mendiskreditkan satu agama guna menyanjung agama lainnya.
Jadi, kalaupun buku ini diterbitkan guna berbicara tentang hal-hal pokok yang mendasari pergumulan iman kristiani, bukanlah untuk mempropagandakan agama Kristen. Sekali-kali tidak!
Sebab Alkitab sebagai Firman Allah yang berdaulat bukanlah untuk diperdebatkan. Juga bukan untuk dibedah, bukan untuk diamputasi, dan dicangkok. Melainkan untuk diindahkan, dipatuhi, dan dilaksanakan.
Dalam rangka itulah buku ini diterbitkan. Dengan pengharapan bahwa sidang pembaca—setelah membaca buku ini—mampu menalar dan menentukan sikap terhadap serangan yang meragukan otoritas Alkitab.",http://www.penerbitbinakasih.com/106-buku-menampik-dr.-m.-bucaille-.html,http://www.penerbitbinakasih.com/images/products/product_106.jpg
Cermin Injil,STOCK KOSONG,979-8976-50-9,G. Riemer,228 halaman,260 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 0,"Kata liturgi sering diartikan tata ibadah gereja. Gereja-gereja kuno—yang sudah ribuan tahun usianya—sampai sekarang menerapkan liturgi secara kaku dan dogmatis. Sementara itu gereja-gereja masa kini cenderung menerapkannya secara spontan dan bebas.
Buku ini mengurai apa sebenarnya liturgi itu. Bahwa liturgi bukan sekadar tata ibadah dari suatu jemaat di satu tempat. Liturgi tidak dibatasi oleh perbedaan paham teologis, juga tidak oleh perbedaan suku bangsa dan bahasa.
Liturgi sejati melayani ibadah di tempat kudus yang didirikan oleh Tuhan, bukan oleh manusia. Dan itu telah impas digenapi oleh Yesus Kristus di Golgota! Ihwal liturgi itu disajikan gamblang dalam buku ini. Sedemikian rupa sehingga sangat cocok bagi intelektual Kristen, teolog, mahasiswa dan anggota majelis maupun evangelis.",http://www.penerbitbinakasih.com/107-buku-cermin-injil-.html,http://www.penerbitbinakasih.com/images/products/product_107.jpg
Ajarlah Mereka,Kualitas umat kristiani esok ditentukan oleh pembinaan kini,979-9143-18-7,G. Riemer,236 halaman,270 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 45.000,"Katekisasi telah lama dikenal dan dilaksanakan di kalangan umat kristiani.
Tapi sangat jarang orang yang mengetahui sejarahnya, maksudnya, dan tujuannya. Apalagi seni dan teknik berkatekisasi.
Sementara itu teguh diyakini bahwa masa depan gereja—keberadaannya, kualitasnya, relevansinya, dan perannya—dipertaruhkan pada generasi muda gereja masa kini. Yaitu generasi yang justru harus dibina melalui katekisasi, agar mereka siap menyambut masa depan. Menata dan memanfaatkannya bagi kepentingan umat manusia dan kemuliaan bagi Allah.
Katekese, pola dan kiat berkatekisasi itu dituturkan dalam buku ini. Sangat cocok bagi orang tua, majelis, guru jemaat, pendeta, apalagi mahasiswa terutama mahasiswa teologi.",http://www.penerbitbinakasih.com/108-buku-ajarlah-mereka.html,http://www.penerbitbinakasih.com/images/products/product_108.jpg
Perjumpaan Injil dan Budaya dalam KAWIN-MAWIN,Kajian Antropologis-Etis,978-602-1006-04-7,Jan Boersema,308 halaman,350 gram,soft cover,HVS 70,"14,5 x 21 cm", Rp. 70.000,"Mahalnya Mas Kawin 
Perjumpaan Injil dengan budaya selalu menarik untuk dibahas. Sejak dahulu hingga sekarang, gereja menggumuli bagaimana pernyataan Allah dapat diterapkan pada budaya setempat. Ada beragam bentuk budaya yang memerlukan pendekatan kontekstual dan alkitabiah; salah satunya maskawin. Pokok inilah yang digumuli dalam buku ini, khususnya di Sumba Timur. Harga kawin/maskawin di beberapa daerah di Indonesia, misalnya di Sumba Timur (yang disebut belis), sering menjadi pergumulan yang sangat menyulitkan secara ekonomi karena tuntutan nilainya yang sangat tinggi. Akibatnya, muncullah fenomena ”kawin duduk” di kalangan masyarakat Sumba Timur, yaitu sepasang muda mudi tinggal bersama layaknya
suami istri tanpa proses pemberkatan nikah di gereja.


Melalui penelitian selama belasan tahun, diharapkan buku ini bisa menjadi acuan dalam menyikapi kompleksnya harga kawin di masyarakat Sumba, dan juga di Indonesia secara umum.

Buku ini sangat berguna sebagai bahan studi di kalangan mahasiswa STT, para aktivis gereja, dan juga jemaat yang ingin mendalami misi. 


Dr. Jan Albert Boersema lahir di Groningen, Belanda, tahun 1951. Tahun 2004 ia diutus oleh Gereformeerde Kerken in Nederland untuk melayani di STT GGRI di Waingapu-NTT, STT SETIA di Jakarta, dan STT SALEM di Malang.",http://www.penerbitbinakasih.com/268-buku-perjumpaan-injil-dan-budaya-dalam-kawin-mawin.html,http://www.penerbitbinakasih.com/images/products/product_268.jpg
Pelayan Sejati,"Pelayanan rohani; paradoks mengenai kematian dan kehidupan, penderitaan dan sukacita",979-9143-56-X,Ajith Fernando,36 halaman,30 gram,soft cover,HVS 70,11x18 cm, Rp. 7.000,"Ketika Ajith Fernando menyajikan makalah ini di hadapan 150 orang pimpinan penginjil di Inggris, langsung terasa bahwa makalah ini perlu dipublikasikan. Buku ini sangat berguna bagi pembaca secara pribadi dan juga dapat digunakan sebagai bahan diskusi dalam seminar pelatihan kepemimpinan. Mengandung banyak pokok penting yang sangat berguna bagi para pemimpin maupun calon pemimpin dalam berbagai bidang pelayanan:
·         gereja
·         kelompok Pemahaman Alkitab
·         kelompok mahasiswa
·         lingkungan penginjilan
·         organisasi Kristen di luar gereja
Berdasarkan pengalamannya pribadi, Ajith Fernando menyingkap paradoks pelayanan rohani, kematian dan kehidupan, penderitaan dan sukacita.",http://www.penerbitbinakasih.com/93-buku-pelayan-sejati.html,http://www.penerbitbinakasih.com/images/products/product_93.jpg
